Call Ratio,Average Call Distance,Life,Max Distance,Max Date,Min Date,No of Days,Total No In,Total No Out,Total Cost,Total Duration In,Total Duration Out
0.55,0.852,56,5.021,734501,734411,57,88,106,90740,3655,3928
0.48,0.099,90,3.003,734502,734411,92,915,846,448440,48127,32122
0.48,3.677,16,21.082,734499,734411,21,24,22,31544,1112,1665
0.49,0.136,88,3.003,734502,734411,89,647,632,396520,32144,24943
0.49,0.417,79,3.012,734502,734411,82,211,203,145564,10736,9184
0.54,0.638,57,5.013,734500,734411,57,119,140,83248,4707,6394
0.51,0.347,74,3.013,734499,734412,81,238,251,123184,10704,8813
0.46,0.277,85,4.017,734500,734411,86,316,264,159844,15210,10164
0.49,1.217,39,6.013,734497,734424,40,57,54,62140,2971,3323
0.49,0.193,84,3.016,734502,734411,87,467,457,275380,20504,17554
0.56,0.868,48,9.915,734499,734414,50,78,98,45792,3389,2773
0.44,1.568,34,9.051,734500,734411,37,57,44,91488,3065,1842
0.48,0.58,61,3.015,734500,734412,63,151,139,67484,6731,3360
0.49,0.787,51,5.019,734498,734411,60,108,102,74424,5402,3707
0.53,0.545,61,4.012,734499,734412,67,142,160,105616,5329,6264
0.5,0.761,56,6.017,734502,734411,57,114,112,46100,4602,3557
0.47,0.904,48,5.704,734496,734413,57,89,79,50728,3628,3003
0.49,0.276,85,3.008,734500,734411,85,318,302,269336,17248,18956
0.48,0.496,69,3.021,734501,734411,73,180,164,77748,10233,5304
0.48,0.478,68,4.012,734501,734411,68,186,175,83536,8877,5598
0.48,1.362,39,6.032,734499,734412,46,61,57,48240,3559,2390
0.52,1.129,41,8.662,734492,734412,44,66,71,55952,2483,2433
0.49,0.633,58,4.014,734500,734411,61,136,131,61356,6957,3798
0.47,1.353,35,7.028,734500,734411,36,66,59,33068,2659,1875
0.45,1.938,28,8.849,734502,734413,32,46,37,23784,2587,886
0.47,1.294,42,5.015,734501,734417,45,65,58,104680,2692,1941
0.49,0.449,75,4.004,734501,734411,77,200,191,164800,8523,7092
0.47,0.876,53,7.018,734500,734411,57,100,89,53356,4599,3267
0.57,1.301,43,6.022,734499,734412,43,50,67,37284,1732,2381
0.45,2.213,29,10.031,734501,734417,31,38,31,64972,1121,1189
0.46,1.05,46,5.016,734501,734411,50,84,71,26736,4040,1841
0.49,0.245,82,3.01,734502,734412,85,361,351,294428,12658,20441
0.47,0.245,78,3.008,734502,734411,83,368,328,170168,14048,13895
0.49,0.674,55,7.018,734501,734411,61,129,125,131452,5459,6422
0.42,1.278,32,10.81,734498,734415,44,64,47,35032,4509,1234
0.49,0.268,86,3.008,734502,734411,87,334,318,138336,13974,10457
0.46,1.15,37,8.027,734498,734411,46,76,66,35408,2716,1999
0.48,0.452,57,6.019,734502,734411,72,199,185,127676,8706,5954
0.39,4.256,11,26.956,734499,734414,14,20,13,18600,542,348
0.43,0.439,58,7.023,734501,734411,70,199,148,97684,8929,6481
0.53,1.028,49,6.017,734498,734411,50,76,85,66292,4398,3186
0.54,1.227,37,6.019,734502,734415,43,61,71,85992,3339,3184
0.39,1.773,24,13.065,734498,734413,33,48,31,61860,1901,1158
0.49,0.231,78,3.01,734502,734411,83,389,372,182672,14349,12465
0.52,1.147,41,6.016,734499,734412,48,70,76,53428,2835,2905
0.51,0.612,57,6.022,734500,734411,68,141,146,84692,7509,5268
0.49,0.426,71,5.014,734500,734411,74,208,199,109396,8780,7791
0.49,0.385,80,3.011,734500,734411,80,230,225,139980,13073,8530
0.48,0.428,71,3.015,734500,734412,75,202,187,202600,8638,10938
0.42,2.056,22,15.07,734492,734416,28,37,27,33796,1217,662
0.44,0.869,47,6.017,734501,734411,57,102,79,56876,4719,3756
0.35,1.556,20,8.03,734496,734426,31,45,24,35880,1231,1026
0.61,5.935,10,15.107,734499,734416,14,9,14,14416,208,585
0.52,0.726,59,5.009,734499,734412,65,112,120,57568,4501,4650
0.47,0.162,86,3.006,734500,734411,89,549,484,303580,24489,20404
0.49,0.819,55,7.021,734500,734411,59,107,102,80724,4262,4361
0.49,1.038,50,6.044,734501,734411,53,87,85,47448,5373,2982
0.51,0.437,76,3.013,734502,734411,78,199,209,119956,8714,7370
0.41,1.274,34,7.022,734498,734414,44,66,46,98232,2994,1853
0.44,1.418,36,10.028,734500,734411,39,61,48,34188,2663,1777
0.47,1.409,33,8.837,734498,734411,40,62,56,52172,4142,2556
0.49,0.463,68,3.008,734499,734411,68,186,181,138484,10702,9218
0.49,1.062,47,6.011,734500,734412,52,83,80,35648,4635,2327
0.48,0.604,65,3.033,734500,734411,65,146,135,116388,6045,4773
0.43,0.178,82,3.006,734501,734411,88,576,428,224892,22740,17079
0.49,0.627,72,4.017,734501,734411,74,155,151,168788,7181,5436
0.52,1.722,35,8.031,734500,734414,35,46,50,44620,2160,1659
0.48,1.451,31,10.041,734496,734412,42,57,53,42568,1950,1929
0.47,2.084,30,13.919,734492,734411,30,39,34,40696,1529,983
0.48,0.256,84,3.009,734502,734411,84,347,326,211720,14673,11422
0.49,1.004,51,9.03,734501,734411,51,88,85,116248,4698,2774
0.49,0.194,82,3.251,734501,734411,87,457,442,291304,19049,19704
0.5,0.662,57,6.019,734500,734411,65,131,131,77568,5165,4961
0.49,0.617,63,4.016,734502,734411,66,144,141,147316,7389,4855
0.51,0.414,71,3.024,734501,734411,73,207,218,200340,10006,7222
0.5,0.263,80,4.012,734502,734411,86,340,337,182004,17917,12894
0.49,0.125,86,3.008,734502,734411,88,723,696,317152,37861,20993
0.49,0.557,58,7.024,734502,734411,70,161,157,78212,9474,5670
0.49,0.949,46,5.058,734500,734411,55,89,87,63556,3096,2951
0.5,0.165,86,3.008,734500,734411,88,535,532,307248,25481,20451
0.5,0.146,88,3.004,734501,734411,88,614,602,326372,26030,24093
0.54,0.704,55,5.05,734500,734411,61,110,127,172248,4503,4886
0.48,0.527,65,4.054,734502,734412,66,167,152,80028,7936,5624
0.45,0.958,50,8.657,734499,734412,52,90,74,55516,4981,2514
0.53,0.367,72,3.008,734499,734411,81,217,241,192900,11699,10563
0.51,0.642,64,4.013,734501,734412,64,135,139,136884,6031,5060
0.48,0.902,53,7.02,734500,734411,54,98,89,61004,4348,3310
0.5,0.119,90,3.008,734502,734411,94,760,753,386284,32655,26151
0.46,1.48,35,7.856,734501,734411,40,57,48,135228,2661,1136
0.52,0.669,62,3.092,734501,734411,65,126,135,111584,5529,5269
0.47,0.617,54,6.019,734500,734412,64,139,123,64008,6548,3490
0.51,0.142,87,3.008,734502,734411,89,614,643,372536,29690,23215
0.46,0.33,31,29.998,734481,734411,31,213,183,131996,9519,5671
0.48,0.341,73,3.008,734499,734411,76,256,238,124260,13317,8289
0.49,0.112,89,3.003,734502,734411,89,800,777,447780,35388,30952
0.48,0.371,76,3.008,734500,734411,79,237,223,178580,10331,9410
0.48,0.486,66,3.096,734500,734411,75,184,171,159072,6702,6490
0.48,0.285,84,5.013,734502,734411,87,315,286,145580,14941,9825
0.5,0.246,78,4.01,734502,734411,86,366,372,222108,17001,14515
0.48,0.718,50,9.035,734502,734411,59,124,116,88044,5448,3412
0.5,0.305,82,3.013,734502,734412,84,288,284,230508,13338,11720
0.51,0.237,80,3.008,734502,734411,84,368,385,266480,17354,12747
0.5,0.228,80,3.02,734502,734411,85,393,387,298132,15882,21279
0.36,1.778,22,19.076,734501,734414,35,49,28,12496,2037,828
0.52,0.931,50,7.022,734501,734411,53,90,97,59460,4015,3797
0.47,0.269,81,3.006,734501,734411,85,333,300,200804,16151,12511
0.51,0.291,71,3.011,734501,734412,80,297,306,195700,11347,13069
0.51,0.136,87,3.008,734502,734411,90,640,670,475452,30407,30893
0.39,3.445,13,18.941,734500,734414,18,25,16,43052,1084,567
0.55,3.195,21,15.932,734497,734411,25,22,27,31284,1567,789
0.48,1.104,39,6.031,734501,734415,48,73,67,74780,3042,3523
0.49,0.497,64,5.015,734501,734411,70,182,176,178632,8155,9371
0.54,1.13,49,4.9,734501,734411,53,69,80,74388,4714,3921
0.47,0.378,72,3.01,734502,734411,76,235,211,138804,10472,7818
0.52,0.529,64,4.01,734499,734411,67,155,167,71012,6976,6419
0.53,0.627,65,4.014,734501,734411,68,130,144,100976,6383,6057
0.45,1.221,43,5.018,734501,734412,45,71,57,117136,3276,3208
0.5,0.417,72,4.004,734502,734411,75,210,210,128836,9582,7967
0.44,1.358,32,9.035,734499,734411,36,61,47,35732,2995,2133
0.51,0.412,74,3.015,734500,734411,79,208,217,89084,9039,6802
0.43,3.364,17,12.041,734500,734416,20,25,19,15560,1130,740
0.54,1.313,39,10.052,734500,734411,40,58,68,53036,3143,2939
0.51,0.206,82,3.003,734502,734411,86,424,443,221724,20548,16895
0.44,2.375,24,9.063,734496,734413,28,35,28,17588,2342,1318
0.47,1.537,34,7.054,734501,734412,37,57,51,33924,4153,2035
0.43,2.092,22,12.036,734500,734431,22,32,24,37252,1190,2044
0.41,1.698,28,13.931,734493,734415,32,45,31,37488,2827,1158
0.54,0.897,46,6.026,734501,734415,48,82,96,43980,3854,3205
0.47,0.659,46,7.069,734497,734411,48,130,117,70932,5945,3963
0.46,3.144,12,18.96,734493,734427,17,19,16,13368,852,449
0.48,1.039,44,9.032,734499,734411,45,85,78,53496,4209,3121
0.48,1.616,34,9.913,734498,734411,38,52,48,21864,3809,1806
0.5,0.588,56,6.017,734500,734411,60,149,152,104660,8401,6261
0.29,1.751,5,19.955,734451,734416,12,20,8,14472,913,161
0.49,1.191,52,6.016,734500,734412,57,72,69,34932,4298,2801
0.54,0.866,53,5.014,734500,734411,57,86,103,84164,3262,4318
0.44,1.088,38,9.253,734500,734412,46,80,64,41544,5172,2536
0.46,2.519,23,9.687,734492,734414,23,31,26,17816,947,915
0.48,1.05,56,6.034,734500,734411,58,84,78,58576,3245,3819
0.48,0.818,50,6.018,734499,734411,52,106,97,87424,6088,3976
0.47,1.676,21,15.674,734487,734415,27,43,38,48588,1563,1976
0.48,0.635,64,4.015,734502,734411,65,139,130,74100,6993,4590
0.51,0.992,44,10.885,734496,734411,53,81,86,48816,7445,2598
0.47,1.298,40,12.663,734499,734411,40,68,60,19520,6092,1257
0.54,1.596,39,8.032,734500,734411,39,48,56,31328,2467,2278
0.49,0.543,68,3.013,734502,734411,71,165,158,87628,10587,6155
0.48,0.781,55,4.224,734502,734411,60,113,104,51904,5169,3174
0.52,0.938,50,4.019,734500,734412,51,86,94,46392,4129,2390
0.49,0.805,54,5.019,734500,734411,61,111,106,87232,6849,4493
0.46,3.957,17,18.935,734498,734415,19,21,18,39612,806,676
0.46,4.598,14,17.968,734498,734411,15,19,16,40512,531,356
0.46,0.951,49,7.079,734500,734411,54,91,77,80588,4062,2388
0.49,1.026,38,6.908,734496,734413,51,76,73,69900,3459,2116
0.53,1.074,48,8.026,734501,734412,51,75,83,73352,3179,2435
0.47,0.377,66,5.84,734497,734411,72,227,198,122740,12783,7282
0.49,0.387,79,3.013,734500,734411,82,228,223,116300,9460,8215
0.51,0.413,67,3.008,734502,734411,73,209,221,157784,11848,10275
0.46,0.223,85,3.011,734500,734411,88,394,340,200544,20589,13359
0.52,0.314,78,3.005,734500,734411,78,268,285,177252,11350,12112
0.51,0.304,79,3.007,734501,734411,84,283,297,182356,14029,12403
0.46,1.676,30,11.933,734496,734414,34,49,41,98992,3075,1613
0.44,3.381,16,18.097,734493,734412,23,24,19,12720,1091,550
0.48,1.162,45,7.025,734500,734413,45,74,69,73736,2469,3819
0.47,0.776,45,6.028,734501,734415,55,111,100,107436,4317,4958
0.47,1.415,32,7.031,734500,734418,39,55,48,61240,2113,2179
0.48,2.837,20,11.046,734498,734413,23,28,26,40584,1395,961
0.51,0.265,77,4.017,734502,734411,82,327,345,230048,16912,17395
0.51,1.786,33,8.034,734494,734412,37,45,46,40024,1997,1740
0.48,1.003,42,11.031,734502,734411,47,91,84,75548,5502,4056
0.49,0.316,71,3.013,734500,734411,74,280,269,166016,15650,10140
0.51,0.621,62,4.01,734500,734411,63,138,144,103396,12137,6401
0.52,0.559,59,3.013,734499,734411,63,146,158,109268,16008,7475
0.49,0.468,67,4.025,734501,734411,73,191,182,93352,16778,6150
0.48,0.525,70,4.01,734500,734411,73,167,157,75636,20933,4543
0.52,0.552,65,4.004,734500,734411,68,149,162,104352,17331,5815
0.49,0.455,67,3.017,734501,734412,69,193,183,136516,17653,5754
0.48,0.594,54,3.679,734498,734412,68,142,131,46964,7134,4064
0.46,1.001,44,5.02,734499,734416,47,81,70,91884,8873,2742
0.43,5.851,11,19.078,734494,734418,12,13,10,5900,883,144
0.52,1.614,37,6.016,734500,734413,40,49,54,44936,7489,1949
0.49,0.458,71,3.016,734501,734411,75,191,184,119052,19652,7560
0.49,0.352,74,3.006,734500,734411,77,246,238,178900,24746,13206
0.45,5.82,8,22.092,734499,734435,11,11,9,27504,446,192
0.52,0.248,77,3.009,734502,734411,84,342,369,223156,25612,15205
0.41,3.169,16,15.685,734502,734426,21,24,17,48296,2646,946
0.48,0.498,65,3.013,734500,734413,66,175,161,83480,15897,6164
0.52,0.883,53,4.015,734499,734411,55,94,100,52408,14711,3081
0.47,1.24,31,15.917,734492,734414,40,63,55,39036,9447,1914
0.47,0.634,58,6.05,734500,734411,64,138,121,81276,9632,4530
0.51,1.063,49,6.024,734501,734411,52,83,85,100332,9895,3581
0.49,0.949,40,8.91,734497,734411,45,90,85,71264,8408,5356
0.44,4.004,14,16.066,734491,734415,15,19,15,27192,886,1129
0.52,1.373,34,8.034,734498,734413,37,57,62,48844,4375,3260
0.48,0.593,60,5.779,734496,734416,61,134,125,70560,10022,3670
0.48,0.642,51,3.014,734501,734412,60,154,140,91168,19863,6946
0.49,0.311,66,3.04,734500,734411,73,280,272,162960,33423,9999
0.47,0.678,59,4.14,734501,734411,61,132,119,64680,17770,5076
0.44,1.941,28,9.042,734498,734411,31,44,35,16980,6437,1450
0.4,3.08,16,12.061,734499,734419,23,26,17,5120,2374,408
0.52,0.639,62,5.022,734502,734411,66,133,143,80580,14777,6314
0.46,4.205,14,23.093,734500,734416,17,20,17,6960,3019,607
0.49,0.351,73,4.008,734502,734411,83,268,261,155420,20942,11821
