Call Ratio,Average Call Distance,Life,Max Distance,Max Date,Min Date,No of Days,Total No In,Total No Out,Total Cost,Total Duration In,Total Duration Out
0.48,0.073,90,3.007,734502,734411,94,1237,1125,852152,56324,43440
0.54,0.052,89,3.002,734502,734411,90,1531,1768,909224,65060,60893
0.44,1.599,24,11.847,734497,734411,33,53,41,222912,1635,1223
0.4,4.736,11,16.926,734491,734420,14,15,10,38668,419,180
0.56,0.044,89,3.002,734502,734411,90,1642,2077,1141072,71785,78538
0.44,0.164,76,3.003,734499,734411,80,538,423,449648,24316,17969
0.49,0.067,90,3.003,734502,734411,94,1339,1310,752692,60761,50756
0.49,0.303,74,3.01,734501,734411,77,297,287,131788,14644,9113
0.47,4.306,16,15.081,734500,734414,19,20,18,228936,900,688
0.58,0.055,88,3.003,734501,734411,90,1214,1658,867344,51968,61616
0.52,0.215,89,3.003,734502,734411,91,389,424,256804,19249,18274
0.47,0.795,52,5.022,734500,734412,58,111,100,158192,4144,3813
0.55,0.067,78,4.01,734501,734411,82,1129,1358,776160,51374,56186
0.52,0.267,69,4.012,734500,734411,74,310,335,165408,15362,11719
0.55,0.816,56,7.014,734500,734412,56,87,108,73712,3084,3469
0.47,0.12,82,3.005,734502,734411,86,752,658,380900,29208,26315
0.47,0.483,62,4.017,734500,734411,66,181,159,287868,7097,5839
0.44,3.963,13,18.06,734499,734412,19,22,17,6612,1198,267
0.47,0.595,60,6.02,734502,734414,71,146,129,130200,6590,7688
0.47,0.551,57,6.012,734501,734411,58,164,146,281004,6008,5359
0.53,0.068,89,3.005,734502,734411,90,1201,1342,844236,57805,49424
0.45,1.541,34,8.027,734500,734411,38,58,47,104748,2752,1049
0.58,1.077,45,8.035,734500,734411,46,61,83,119600,2257,3081
0.52,0.069,88,3.003,734501,734411,90,1233,1319,799376,58637,56885
0.5,0.072,89,3.006,734501,734411,93,1255,1244,752040,52621,50549
0.46,0.122,85,3.003,734500,734411,86,722,611,356448,30735,24820
0.49,0.171,89,3.01,734502,734411,92,515,486,292892,24294,18802
0.42,1.889,25,11.039,734499,734416,30,44,32,32968,1800,1351
0.46,0.245,67,3.872,734500,734411,69,365,313,416412,19471,13040
0.47,1.038,41,5.02,734500,734412,50,84,74,133580,2592,2649
0.45,0.318,71,3.006,734501,734411,71,283,228,141000,11485,10196
0.49,0.98,42,6.022,734499,734412,50,87,82,44828,3769,2787
0.55,0.059,86,3.006,734501,734411,88,1278,1537,838504,58006,61086
0.49,0.103,88,3.008,734502,734411,92,876,845,451796,40709,28807
0.48,4.644,12,14.924,734489,734424,14,14,13,7104,443,332
0.45,3.118,20,10.047,734501,734420,25,26,21,20064,1361,935
0.59,1.051,48,7.031,734497,734412,48,57,81,281136,2322,2605
0.53,0.307,78,3.012,734501,734411,79,266,294,150140,11586,9912
0.45,1.689,27,9.038,734500,734414,45,50,41,55692,1694,1984
0.42,2.348,25,13.052,734500,734411,32,38,27,26040,1728,1195
0.53,0.057,88,3.003,734502,734411,88,1424,1613,891328,67385,64760
0.47,0.718,59,4.02,734499,734411,61,123,110,230180,5580,3876
0.5,0.494,66,5.017,734502,734411,69,181,178,133300,8838,6062
0.6,0.938,46,7.032,734500,734412,49,63,94,34272,3725,2896
0.7,2.234,27,11.033,734500,734411,29,17,40,40164,634,1273
0.49,0.069,90,3.008,734502,734411,94,1293,1243,580424,64958,42249
0.62,0.31,45,13.938,734496,734411,47,171,275,148388,7974,9703
0.4,3.097,13,18.951,734490,734425,18,21,14,20544,726,246
0.54,0.403,69,5.008,734500,734411,73,189,222,139632,8028,6687
0.35,0.275,66,4.01,734500,734412,71,320,175,152472,13968,6167
0.48,0.371,77,3.01,734500,734411,78,240,225,116376,10033,8050
0.55,1.075,48,7.022,734500,734412,60,67,82,48680,2532,3794
0.5,0.21,90,3.006,734502,734411,90,428,422,211964,19152,14173
0.43,0.164,77,4.007,734502,734411,79,552,420,496500,24744,21191
0.48,1.002,42,7.038,734502,734412,45,90,84,74524,4753,2747
